	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
TUSC3	5.0886	124.7311	28.8955	89.6771
CDK4	29.9353	49.8938	46.7833	38.5216
MZT2B	32.691	27.8029	45.7934	28.3279
SIPA1	196.9178	42.523	51.0521	62.1544
RAP1A	67.3904	62.0347	48.3847	57.864
TMEM63B	13.4076	31.0868	32.65	41.0415
ILVBL	22.5028	35.5531	40.0797	41.2447
FBXW4	44.1886	40.7329	33.4546	49.9911
REEP4	39.9709	32.7877	43.2635	44.5168
SLC7A8	16.8568	38.5544	34.787	37.9823
DCAF12	31.2056	56.4348	30.8427	51.462
GCN1	60.8682	44.9511	33.6531	43.5365
GPX8	6.0922	64.1153	51.3718	49.5267
WWTR1	14.7509	80.0657	49.0888	54.6333
CHTOP	65.8299	46.2292	30.6263	42.7175
MRPL52	36.0043	28.0687	37.4331	33.3647
SLC39A9	30.8626	40.5501	29.2921	35.307
PPIL1	34.5281	47.3025	35.2	49.9172
TWSG1	19.2064	60.1446	54.6507	42.1688
SEC11C	33.9404	39.4651	19.4601	28.7405
SCAP	62.0536	43.0363	41.0688	50.9865
TCEA3	7.5153	49.5832	14.0945	57.8649
PDXK	19.4696	42.0838	51.1782	38.7504
MPG	35.0971	26.5906	48.2779	32.5805
CEACAM1	6.7973	10.6516	18.8047	14.7878
QDPR	18.0834	39.5314	28.4463	38.4056
INPP1	24.2101	21.3097	35.3965	32.0027
BAG1	21.2725	29.2503	30.3665	35.5491
IWS1	47.1239	38.1814	38.8208	37.8612
GRSF1	32.6841	39.0436	28.9734	37.3331
CCNY	52.2508	61.3302	40.0036	48.1695
TACC1	68.1782	88.9183	43.2002	62.4376
RPF1	44.831	45.6892	36.5928	43.069
MRC1	55.01	41.8269	92.4569	9.0482
ECPAS	39.6775	53.0829	34.4323	48.959
C7orf50	39.5135	34.7388	44.4967	35.802
EIF3M	51.1392	42.1367	35.9244	41.4695
TXNDC15	29.4432	52.7259	44.2016	43.1821
GTF2E2	34.7097	31.8875	41.8347	41.6474
ALG3	21.0476	27.8585	33.3394	40.4709
TC2N	30.0198	54.2333	15.3624	74.4229
NUMA1	69.4628	42.8483	33.1105	46.8143
UNC5CL	7.3073	130.4485	22.5347	158.5226
PWWP2B	56.5258	31.255	33.8347	43.2659
METTL7B	5.0083	24.3036	23.4873	12.9025
BZW2	23.1083	25.2109	29.3813	32.5466
PLIN2	39.1007	44.2498	271.582	30.5283
CD320	55.1259	27.4799	28.7075	40.3552
LRPAP1	27.7732	42.1617	48.4669	37.1212
TSR2	46.975	40.8356	36.4602	37.4087
LHFPL6	16.0148	52.6343	65.8366	26.9532
TMX4	39.8374	45.7643	23.0989	30.6291
SS18	55.2138	54.8117	38.7871	50.3934
B3GNT2	28.6229	41.2438	41.6886	45.094
MRPL11	35.8196	34.1318	37.8106	38.9107
SNAPC2	26.9385	32.5963	54.5327	50.8302
TOMM70	43.0897	40.6851	29.426	32.4202
SGPL1	29.6311	55.2351	39.9923	52.8862
DLD	42.4314	56.2903	37.553	48.3852
NOC2L	41.477	31.4731	38.8672	37.5288
TUFT1	2.6857	18.9351	26.9406	24.7459
WSB1	166.3516	42.8837	39.7074	62.2147
ELK1	33.3873	54.7303	50.2994	42.1785
TNNI2	15.6977	6.5194	17.9756	8.6285
CLK2	100.9741	36.3415	32.3048	43.6402
ZC3H12A	31.4686	39.9426	38.2745	33.793
TYK2	117.1007	44.3114	48.8885	58.0204
TAPBPL	42.8497	35.1028	24.265	30.6501
PPP1R2	48.901	52.6876	38.5637	43.2154
KLF13	115.8033	70.3652	38.3315	40.8693
PROM1	0.1621	103.4999	27.8845	84.0897
ZFAND6	59.3898	46.2033	34.9578	42.4308
UROD	38.7523	54.4183	60.1914	60.4654
HSD17B8	42.0792	34.7241	22.7162	41.1839
CIR1	47.8711	52.5199	33.3654	41.3271
CPSF7	81.3139	45.5126	29.0913	46.0552
CD40	152.7115	53.6257	63.8172	72.5996
G6PD	51.6304	34.2679	66.0013	36.6947
SLC38A5	10.0444	10.2664	43.4828	22.5579
B4GALNT3	1.2625	27.231	17.6653	31.5367
RDH11	20.4487	62.5024	36.4143	45.7176
ABHD4	18.5983	63.3949	38.996	72.1261
ANO6	20.5971	59.6399	43.7658	39.1642
TCF25	59.5395	41.0225	43.2637	46.802
CFDP1	39.8735	42.5464	50.0501	38.1088
SFT2D1	43.922	42.5307	41.3501	50.8974
MEA1	35.446	42.6265	44.7189	40.7462
FAM160A2	43.6624	27.5299	38.2598	29.5515
NOP58	56.9482	31.7455	27.4379	27.3536
FAM174A	14.4976	37.7867	40.1651	40.3485
TCEA1	54.2916	40.3564	29.4018	36.938
FILIP1L	41.1476	130.8937	57.4607	123.1324
ASCC2	49.9562	39.1026	40.0023	47.3867
B4GAT1	24.9275	36.1554	30.9429	36.7424
TSEN34	29.4308	36.6672	43.6989	45.2574
MAPK13	29.1905	33.3139	26.0529	40.2544
ECI1	22.116	30.3294	32.9253	38.6798
NFKBIE	68.744	50.0735	77.2013	89.2606
TRPM4	7.8713	20.3835	35.0793	19.938
SLC25A38	86.7038	43.8186	27.3787	43.9288
EXOSC5	38.2027	24.8748	33.4031	38.6948
S100A8	248.8129	23.2781	88.1138	35.5901
BSDC1	46.4062	44.2923	36.227	44.313
SH3PXD2B	7.8734	78.1249	57.7808	52.448
CSF1	62.9887	92.2306	60.0961	109.8297
NFU1	33.262	45.2991	42.8077	46.1533
KCTD5	41.6698	33.1188	40.5739	37.0242
DEFA5	0	0	0	0
PPP1R8	55.4647	49.277	39.3779	44.3501
YY1	47.0012	38.9569	33.5065	41.5325
KDM3B	64.806	47.4329	27.1896	40.6002
PLEKHA4	14.2542	57.2014	53.5875	73.4883
MRPL40	31.2339	38.8686	37.6422	38.7137
EBP	18.1986	22.6781	29.8723	37.8962
AQP8	0.6034	21.9932	2.3951	69.2486
IPO5	42.1561	45.07	34.6844	42.7606
CAPS	37.3644	12.4335	14.006	21.4356
OLR1	0.365	111.5976	402.1271	63.2736
PAFAH1B3	16.5799	28.2151	29.5748	55.6628
EPDR1	21.6423	41.4807	52.2138	34.1005
ANXA9	6.0089	97.7876	20.5859	90.3315
DPEP1	0.9853	43.3989	43.0762	60.2409
EGLN3	3.0311	8.7802	48.111	23.2407
ENPP2	40.3116	26.4356	39.4956	21.9919
CPA3	2.4593	18.0483	23.3462	5.2277
SMOX	11.3951	22.1015	66.6697	37.4056
KCTD20	48.3664	64.9688	51.7255	46.9446
SLC25A23	19.5471	54.4003	30.5304	64.8995
ACVR1B	15.2685	55.0576	30.0523	45.631
UBAC1	36.5772	41.0559	41.0389	41.5591
IARS1	51.817	38.7656	28.8283	33.074
CDHR5	0.9634	0.6434	20.3515	1.2503
FNDC3A	33.3891	55.0794	28.8698	38.1662
PYM1	42.6309	35.8264	32.6025	45.1436
OAS2	103.1757	22.486	26.2466	19.2796
DPP3	28.62	43.0579	35.3563	49.9549
RXRB	79.3425	44.4162	31.6631	51.5357
SUN1	38.3032	28.2336	29.1901	29.4151
CPTP	24.7493	26.2073	37.6534	47.5276
GTPBP2	59.7382	42.933	42.7643	48.2193
SLC5A1	3.697	21.6154	12.6895	4.39
SMG7	48.8606	36.2883	25.9141	31.8231
NDRG2	47.8384	46.9689	31.2676	31.2968
SIL1	20.8337	37.3052	46.0109	41.2698
BLCAP	40.593	25.3444	31.4734	23.7136
AKAP17A	114.5832	34.8062	46.5253	49.8564
CCL24	35.55	1.7051	35.5506	0.6284
SSBP4	46.0268	35.2975	53.1163	55.4122
FN3KRP	46.9065	31.7127	46.7259	35.5651
SPTLC1	24.6008	46.4904	30.9788	38.7207
KRT23	0.5752	23.1889	23.1816	19.4204
PIP4K2B	64.5258	46.4921	35.7608	39.8176
EMC3	23.237	41.3346	43.7428	39.8804
BEX2	45.5553	45.5787	6.3206	33.1604
CGGBP1	83.5492	55.6477	36.1089	45.3579
TMEM125	0.1305	31.0757	15.8236	46.7538
STC1	0.5849	33.1353	77.7358	46.125
EIF4A3	32.8689	39.2122	44.1387	42.7239
STMN2	5.1004	25.3786	70.5531	10.3121
NR1D1	14.2493	15.9042	29.6195	13.4181
FBRS	74.8807	32.731	37.0564	43.1035
AP2A1	33.8394	35.9743	57.1229	41.8062
FRG1	43.3159	52.6834	40.8957	53.7946
NAB2	21.6797	33.804	57.7261	42.1243
HIPK3	52.0544	46.8262	47.8585	33.9691
KIAA0930	46.0218	56.1747	69.2705	56.9013
MAPK1IP1L	44.9758	36.7651	44.5826	37.5575
VAPA	26.4571	42.0376	36.1499	42.4779
HMGCS2	0	0.473	20.2467	0.0649
RTRAF	33.552	38.546	40.3905	41.3289
MARS1	56.3137	40.8806	31.9886	44.1021
IMPA2	11.347	35.1271	25.2265	55.1164
UBTD1	7.1141	48.6183	87.3504	62.1069
ATG13	32.7151	45.6347	31.4922	48.0646
MGST3	12.4266	37.5831	41.5272	33.6456
GATAD2A	49.0322	34.2081	45.3748	43.121
SYK	184.6448	63.6952	45.4021	55.4496
TMEM263	26.0564	42.5912	36.8705	38.4556
SMURF1	17.0233	37.7157	34.4167	37.5875
ZFP91	46.1578	45.2607	29.544	38.1857
DBNL	99.929	38.1838	43.8337	43.3112
TFPT	33.597	31.1699	63.9155	41.9508
ENTPD6	20.2204	29.6964	25.6945	32.3542
FUBP1	97.5558	45.8735	30.6743	40.8499
TUBA1C	15.1785	36.3064	41.9662	31.0011
TPBG	4.4345	39.5006	39.4203	51.3584
TSPAN9	21.4534	71.4704	47.3256	55.1936
HGSNAT	27.9683	68.6055	39.6282	68.2966
PPP4R3A	76.1771	42.4996	31.4102	39.8695
RCC1L	34.8165	40.549	46.5178	43.4797
IL22RA1	0.066	19.5245	41.516	34.7753
RAPGEFL1	5.2365	1.9137	30.9793	3.3518
SSB	40.5528	43.8047	37.0511	37.3499
UBE2A	35.2179	43.8601	39.8946	43.5413
CTNNBL1	55.0597	36.8537	45.1111	35.5956
DERA	21.5207	41.22	31.356	46.2456
COPS8	26.6676	45.7657	45.7118	40.1719
PABPC4	48.1884	48.0342	46.0011	54.3905
PATL1	41.251	42.0342	33.8909	35.0777
CYP1B1	48.8653	65.8727	56.6621	55.1948
AAGAB	33.1247	39.1627	34.3902	35.6615
VOPP1	56.7248	34.3765	41.9783	37.3687
CORO2A	10.4156	9.4133	16.0417	8.1278
KTN1	29.9321	45.6491	37.2774	40.9617
STAT5B	83.9497	43.7745	49.6949	37.3231
ARHGEF40	35.8734	80.4348	42.0403	64.8351
FAM162A	24.6883	30.8441	33.4429	32.41
INSR	44.6542	41.062	33.5137	57.1647
GADD45G	5.3419	36.9874	34.3343	38.9415
SYAP1	22.057	37.1467	36.5298	36.5893
GALM	21.5061	49.779	34.728	44.8286
LPIN2	34.9157	39.2014	31.4492	29.5807
COPS3	46.4959	50.62	33.8759	46.572
MEDAG	0.6081	19.1404	103.0852	13.5694
ZFYVE27	49.5129	33.1617	29.7863	41.9033
ANTXR2	18.812	28.7772	44.9725	18.5252
UNG	37.1017	41.5816	28.9685	36.8713
IFNAR1	38.4593	51.374	38.3584	50.139
RNF25	42.0583	35.0134	42.0229	47.9258
PPP4R1	19.3394	36.0455	33.2191	41.436
NRSN2	17.2477	57.4192	30.9053	67.0269
ULK3	86.9581	30.1364	31.1976	42.6336
MAOA	6.8802	30.4545	33.6534	33.6806
NCOA5	74.7049	39.0833	30.9126	50.0311
SH3RF1	8.8199	27.9578	26.5391	27.8043
SCAMP4	25.0578	42.3844	41.0376	44.7692
PLOD2	5.6671	56.7936	57.0213	57.3261
RHOU	19.0909	68.0317	40.0287	34.0898
YES1	24.7978	36.6353	28.8471	40.7013
PLEKHA6	5.6146	22.431	12.6594	21.4799
ARFIP1	24.6802	40.7353	28.4593	33.7288
CYB5B	28.4289	34.7474	32.7184	35.6789
C6	0.1915	165.1137	19.8353	106.347
THAP11	55.3192	36.3395	31.9472	43.3454
UHMK1	62.5241	34.7967	26.3624	27.1165
THBD	52.5726	23.7816	90.5867	17.8822
MARCHF6	65.0139	32.676	24.6351	33.5005
POF1B	3.9956	30.3373	14.159	21.6652
TMEM101	29.9023	33.3977	34.4918	40.5847
SH3D19	5.7266	52.0872	39.3141	25.4881
PHETA1	15.577	30.4425	31.5285	82.735
DUSP4	3.3627	19.2711	32.3466	24.9245
TMEM69	54.5255	51.0302	28.5999	47.268
UBQLN4	30.0954	38.0646	27.8067	38.5294
SDAD1	51.4105	45.13	30.4127	38.933
RESF1	195.4282	29.0955	25.3195	20.4507
MAN1B1	37.3924	39.5242	42.8725	43.5326
FAM20B	30.623	37.0283	28.5386	31.0978
NDUFS3	31.011	40.5583	37.6218	45.5394
ACSL4	33.9805	72.8394	66.2438	59.1869
ARPC1A	22.6062	23.3893	35.5567	29.9065
FAF2	31.285	40.346	26.7115	33.4382
KDM2A	78.6143	40.3097	34.8816	36.6723
MID1IP1	12.554	35.3307	32.42	40.9699
ACSL3	21.1263	33.6081	33.6081	27.7358
DKK3	14.2077	43.5501	33.5132	23.964
WDR5	41.1531	37.6827	34.5246	39.4249
GHDC	55.994	32.9335	33.4348	24.9339
MPHOSPH8	74.4654	41.4973	30.522	32.502
SUB1	42.5016	49.0385	36.9425	41.3457
PSENEN	17.6541	30.6511	33.4747	33.9903
PARP14	147.8237	34.5045	27.9927	35.7176
MRPS7	35.078	39.0889	36.6803	40.677
RBM47	13.1912	49.815	21.5041	37.5725
STK40	57.9998	38.9237	44.0357	49.3041
BCL2L2	24.3239	37.9707	38.2411	31.7788
UBE2Q2	41.3	60.7755	43.1036	51.655
TMEM87A	21.2947	40.9807	27.3298	33.0749
C1orf210	0	31.8097	13.1853	26.5221
FOLR2	48.4004	63.7714	59.1312	31.9755
CREB3L2	28.4244	53.1752	35.396	31.1204
SCOC	17.7739	40.2599	27.985	40.9672
MBD4	128.5743	42.1974	30.3501	37.9786
PAPOLA	50.7364	40.7775	32.7104	40.0768
NPLOC4	47.11	41.5801	33.586	46.5793
EIF2S1	33.491	38.7258	35.8995	34.4655
DERL1	38.9538	38.898	33.577	34.1228
VPS26A	28.6282	47.4973	37.7285	41.0783
GALNT2	18.3644	44.6937	35.024	45.0147
APLNR	136.8572	59.6053	60.3858	71.4475
NFKB1	57.5002	50.9506	54.8968	51.4905
NADK	82.3236	37.7967	40.3863	44.9772
ARHGEF16	0.2795	15.7673	18.7831	21.6674
CASP7	23.4024	40.2273	25.9027	52.0074
RCN1	14.7431	40.6948	49.6807	36.4598
EML4	87.3147	42.2411	42.3308	33.874
CISD3	13.5998	24.2916	31.3329	35.4223
SSR1	35.4383	50.3414	32.9578	43.7969
PSMD11	30.2752	40.5795	34.3534	38.3426
ERICH5	0.36	130.0095	22.7887	89.5666
G6PC3	23.1304	44.6093	36.3046	49.5432
BROX	38.7839	38.5854	24.6276	37.955
POGLUT3	16.1577	47.2205	39.4043	32.5808
LIMK2	40.9043	52.0713	40.9641	53.7018
ZKSCAN1	32.1087	45.2885	18.0613	30.7385
RASSF3	78.4323	45.0229	32.8836	39.6821
GPR183	170.7516	61.6139	115.2355	25.5371
RARG	10.8826	26.4134	26.3017	40.9252
RHOV	0.6199	60.925	12.7377	85.9542
SHOC2	48.8514	48.4524	35.2757	41.8241
URI1	40.7607	38.2295	25.424	35.489
CHMP3	18.972	43.7727	31.6143	38.455
MSL1	59.4064	30.7902	33.2185	39.1856
MFSD6	24.9787	35.4823	20.4932	26.1518
CES2	21.0941	26.9135	19.0208	21.4969
USP10	63.9856	37.089	32.3557	39.1469
TRAFD1	71.4018	58.3814	36.2815	62.5615
CYTH1	140.531	37.3286	60.1468	38.2984
CLUH	49.0026	43.8327	36.9348	48.0203
PTDSS1	50.637	41.8169	36.1187	40.2934
DDX6	80.5626	43.9679	32.0591	33.6784
MAPKAPK3	39.0969	45.9829	42.0811	47.6422
IRF2BP1	34.6792	29.9584	32.7215	39.94
HACD2	30.8606	40.1283	24.8638	35.1963
VPS4B	52.9719	49.419	28.4073	35.626
NCF2	56.9888	133.8125	110.2026	108.1227
CHCHD3	27.8867	41.291	35.382	34.6955
ZNF581	59.8901	30.742	34.2512	41.8442
SEPTIN8	22.7262	50.7216	43.0846	38.414
PRKACB	61.8471	38.8449	29.98	21.1848
B4GALT3	38.7984	24.9808	31.8596	29.2911
HSPA6	10.0692	7.5069	15.9777	14.7023
CHMP4C	6.176	27.7326	10.9823	35.5482
MOSPD3	22.3707	28.0352	40.8144	43.0383
EVPL	0.1263	5.3035	23.1914	11.551
SRP68	33.1697	34.0253	30.5608	33.6359
STK38L	14.7285	67.4377	42.3302	66.7249
PTPN23	46.5348	42.2449	32.6449	42.7644
SBF1	78.4114	27.9517	30.9076	34.1128
GJB1	0.0799	40.8786	17.3354	39.5049
TNS2	64.9681	43.8671	54.8236	43.0365
STK25	48.8734	36.5235	40.6445	47.4724
ELL2	17.2299	34.0969	52.7462	32.3062
UGT2B15	0.1307	39.3912	20.3329	79.8761
PRELID1	33.0525	25.8412	33.7145	27.5022
QRICH1	77.2139	43.6231	29.5723	42.6149
ASPH	6.8467	22.9487	29.1691	15.7974
MED15	53.6043	32.9412	42.8978	40.2914
ZFR	43.4538	50.3248	27.7558	34.5287
DEPTOR	14.1594	35.3196	20.7496	17.3621
MRPL27	24.8491	33.9564	36.1885	38.5836
IDI1	65.1477	44.0383	27.3998	53.4245
EIF2B1	59.6357	42.5458	33.852	46.6292
ZMIZ1	52.5144	87.6662	40.1893	67.2087
TNRC18	25.4374	28.7628	27.751	29.0366
TNPO2	53.3423	37.4144	34.7234	40.0936
HLA-DOA	254.5086	97.3184	32.3428	79.431
TPSB2	2.3542	16.521	18.6462	10.2003
CSNK1D	53.8431	38.2835	39.8642	43.0119
FKBP3	39.654	45.8003	38.4375	42.6266
GNA11	16.3494	31.2723	41.3796	36.232
NDUFA4L2	23.5959	10.3564	31.9658	19.7546
TCEAL3	29.6525	45.7427	41.855	29.7174
SREBF1	23.1831	26.0238	32.5868	37.9247
NACC1	31.2198	32.4245	39.725	36.5187
HDAC7	56.9115	34.4326	46.5254	50.2836
NSFL1C	35.8241	40.002	38.6064	42.0293
FUNDC1	26.4845	43.5716	26.6443	27.4124
UTP18	48.6461	38.986	31.7792	36.0572
TIMM9	34.2809	35.5374	32.8454	32.3282
C11orf58	48.3931	46.5117	33.2235	41.9693
DUT	63.3022	33.8402	33.7695	38.421
CHRAC1	27.2644	31.71	26.7497	36.44
OXLD1	77.7643	33.7976	29.4495	46.2448
METTL9	31.8577	41.4711	32.7627	41.6331
PARP12	73.482	46.3553	28.8785	59.379
NRBF2	37.862	45.1918	46.8269	42.3814
GOLT1B	33.157	40.2998	34.8739	36.9034
PAICS	26.6504	27.1573	23.9582	25.7686
MAD2L1BP	38.2434	35.4208	28.946	37.4266
UBTD2	14.565	57.1743	38.777	51.81
MXD4	97.1455	47.0898	35.7779	50.7035
VCAM1	229.3202	86.035	40.4722	86.849
CIAPIN1	33.3429	40.4228	35.1713	42.0703
TP53INP2	10.3695	48.9673	47.3235	46.5046
KCNK16	0.0471	24.6138	4.774	8.4748
LOX	2.4095	49.597	68.9484	22.518
GLIS2	5.5911	57.0294	56.8788	65.7335
ADNP	58.8736	40.5342	24.9944	36.5126
PRMT2	48.7036	51.915	35.7669	52.5896
SERPINA6	0	87.7397	15.9307	45.7834
PHB	24.9166	31.6835	36.5043	33.94
CTNNAL1	19.0508	37.5603	25.9123	40.1498
FNBP1L	4.6352	58.1424	29.2799	51.3191
BUD31	25.1869	31.1744	36.6974	31.0273
NMT1	54.1945	43.5462	31.6346	39.0786
PHETA2	10.6612	46.483	38.9469	45.9448
STEAP3	2.6907	28.2916	24.5063	30.6686
R3HCC1	36.0652	43.3413	44.8546	53.0079
PNP	23.5516	25.0297	55.6614	29.0118
CTBP1	59.3373	34.2194	33.3961	39.6349
VEZF1	37.42	59.667	25.6948	45.4184
HECTD3	36.9253	41.4736	36.4251	59.2064
KIAA1217	9.4652	64.4241	35.2632	48.7275
UBLCP1	69.7344	53.6688	38.3167	43.3555
CCNQ	50.4606	28.0428	33.8785	37.2725
FBXO34	28.7749	38.4439	32.5232	30.9757
ATP13A2	37.3525	38.5818	35.1571	50.2107
RPL26L1	23.6474	36.8283	33.5492	41.0431
RHBDF1	9.2916	26.8411	37.955	35.5346
IFT57	59.1347	47.2723	31.3687	62.7608
IP6K2	48.1824	45.1383	31.9337	43.5834
RAB12	45.5569	39.1536	30.695	44.0354
PPP4R3B	51.3792	41.4056	26.4028	39.2298
ASPHD1	0.8849	11.9696	27.4474	18.5756
PRKCI	9.9623	20.6878	18.3867	17.0984
DDX54	48.341	33.7403	34.5881	41.7713
TMEM128	39.3672	38.3065	27.4215	39.3297
RAB9A	35.6476	49.8445	37.9255	52.6246
DAB2	41.5854	86.2675	66.0579	55.0483
MAFK	25.5675	23.4326	50.2641	26.9056
SEPHS1	32.0108	44.4905	28.6097	43.9081
DHX16	60.1395	34.0948	30.941	42.1279
ORAI1	73.7932	30.9812	40.6724	52.1385
SCRN2	50.7594	31.6513	28.0323	45.7919
TTC38	35.0863	28.9192	25.9214	32.7757
ADAMTS1	15.5474	24.7613	108.2456	27.7168
GNG11	56.9224	70.7675	69.6838	50.1201
ZNF32	37.961	56.1909	35.9883	55.8099
RPA1	66.95	51.199	33.8246	42.3426
CHSY1	33.0156	47.0284	65.1774	40.3007
SLC12A2	7.8213	56.3528	22.5673	62.1512
CEP20	43.7745	38.2582	23.2416	34.6213
RNF44	125.3827	30.8325	26.4828	43.3088
ASAH1	34.7343	87.303	55.259	55.5735
COP1	35.4201	37.1511	26.3756	36.2651
DMTN	7.8169	31.4249	32.9817	49.3093
LTA4H	43.752	54.7153	73.1443	44.352
PLXDC2	9.5234	93.5634	64.1774	40.8568
MPRIP	50.6038	40.8754	44.1287	38.9876
IFT52	25.3814	52.8132	37.864	45.8603
CYGB	9.3228	47.6166	68.3146	58.0768
DYNC1LI2	28.4068	51.5171	29.8882	33.5123
TP53I13	53.5364	18.8618	30.6943	34.9494
OLA1	22.2988	39.501	27.8488	46.4348
CLEC14A	34.1947	33.8255	55.8503	45.1129
MATN3	0.2656	87.7698	51.7894	12.573
NELFCD	46.0677	28.841	28.4624	40.8355
DAB2IP	19.7762	64.9013	36.8069	82.9294
TSPAN17	28.8872	41.3666	35.5953	53.0982
NDUFC1	26.9906	37.1844	31.0002	32.6917
ARHGEF2	61.9403	26.6245	38.8715	28.4465
DAPK1	29.4697	55.614	42.7121	57.9006
GYS1	40.9155	29.3432	39.5178	34.1478
CARD10	3.9433	38.9978	26.346	56.9044
GATD1	37.433	31.267	31.4132	43.6846
FBXO7	49.2624	45.1152	34.2846	44.4917
SPRY2	30.129	25.0119	39.1212	22.3035
RAB3GAP1	33.9956	38.6732	29.4138	30.8932
FAM3B	1.8462	45.1112	7.1375	66.032
DNAJB12	32.8344	38.7026	33.8378	40.7781
BTG3	15.7812	36.8107	44.4626	42.0848
CBX4	51.5298	31.175	30.5335	43.0402
TPD52	29.9951	19.4881	12.0922	19.9927
STARD3	49.4515	30.4171	40.792	37.7609
BLOC1S2	68.8733	49.1007	39.8493	44.7745
SPOCK2	109.8756	27.9722	25.1372	24.7315
SLC39A4	2.4825	5.7055	21.6647	7.9187
SDR16C5	0.0851	0.4052	20.4902	0.5077
REXO4	50.4552	33.9372	29.8625	40.1412
CELF1	66.3273	40.0912	31.7517	38.3742
CDHR2	0.626	3.1976	18.5213	1.6808
SF3B3	48.7802	36.4436	29.4211	33.8794
PRR14	60.7016	33.5376	38.6179	55.1699
P3H4	5.2265	37.5537	42.9831	40.2028
TRIM22	318.4936	53.0111	35.9974	37.8765
ZHX2	75.5336	51.118	37.7735	42.5964
SLC38A1	114.255	40.5887	12.4899	31.0233
HKDC1	1.6735	27.4299	21.0954	27.9077
UBE2N	47.2612	44.878	38.2029	38.4839
BMP1	9.5795	42.4862	67.855	51.8202
CLDN23	2.0665	16.4762	51.6955	21.1544
LRPPRC	44.9194	34.8728	22.2431	32.4771
DDX49	30.0128	33.9023	38.759	40.306
MLX	35.951	30.1292	30.6084	30.3385
MMP12	3.3685	140.217	1498.1663	43.9906
AP3B1	33.6183	50.1758	30.8645	36.6384
MRPL43	32.4807	34.4088	35.0846	41.9529
DPY30	22.4545	29.5335	31.8212	32.1315
FGFR4	19.1977	47.9966	17.8867	50.3016
EMB	89.2472	27.4094	27.4812	19.6798
PTPRU	4.6899	24.5465	25.0816	28.1752
RNF19A	80.0091	48.6812	36.4938	41.9138
SLC1A1	1.8252	46.1434	24.8227	21.0484
STRN4	36.7973	31.8334	38.3419	41.8059
GNPDA1	37.6524	45.9242	33.188	37.6944
ARHGAP12	38.83	35.9628	18.3295	28.7469
ASB13	50.8466	44.499	34.7453	47.671
SIAH2	59.296	28.7435	29.8733	33.718
PYCR1	2.6422	22.1606	31.9489	28.5221
AFTPH	55.163	36.6558	26.4159	32.7322
TTC3	38.0503	57.3881	34.7716	34.5592
NUDCD3	37.787	36.8553	26.446	32.4828
FNDC4	6.6251	62.367	64.4023	138.488
PLK3	17.7207	28.3746	84.0386	30.5953
CDK10	33.4847	25.2606	31.6735	39.0184
ZRANB2	105.5834	39.1841	26.983	39.4196
SRSF4	54.4159	38.0325	41.8441	39.4319
CHMP7	97.861	33.5968	37.9827	35.9992
FTSJ3	44.834	38.3789	32.4917	38.9762
PLPPR2	20.8542	30.7668	38.259	29.7524
ZNF330	60.9067	44.9022	36.0107	36.561
TMPRSS3	1.3642	16.5034	7.9428	20.8924
DNPEP	36.9156	27.9011	32.8191	35.6914
NT5C	56.2318	28.755	32.8152	33.0098
PXDN	8.5679	55.7481	92.9521	52.1353
TM2D2	28.6838	39.0412	47.741	38.1902
PPP3R1	41.4648	34.0906	40.2875	38.0771
STMP1	28.2707	40.4674	40.8104	34.6146
CDH11	24.3985	71.8483	52.9713	27.9629
HNMT	18.9464	48.5173	41.8673	46.0952
RARA	27.1545	35.836	63.1232	37.9739
PRXL2A	11.8807	37.7656	39.6594	37.543
LZTS2	31.2482	39.7365	57.2244	54.3978
CHI3L1	7.7977	90.7235	598.2017	103.6481
XRCC1	34.1139	32.1386	35.4671	42.0548
CLIP2	21.7128	29.7368	41.0553	41.4741
DEF6	199.7934	36.4922	30.731	42.1799
PSMF1	35.6404	36.7686	35.2499	42.4546
MGAT5	93.9996	39.9637	25.657	28.8386
CMBL	2.4953	15.9523	13.8456	11.8316
SYNCRIP	46.0688	47.288	32.0241	43.0644
LIMS1	23.0954	61.0598	56.9966	53.5519
BAZ2A	64.6163	37.4663	24.5871	28.5705
USP39	39.7561	35.8218	29.9111	34.6565
CACYBP	28.7183	26.9886	24.9664	28.4474
RBM6	110.0893	38.6345	40.3032	52.1686
ZNFX1	49.204	36.7364	35.2125	29.5583
BUD23	29.4792	22.3152	27.3733	27.1287
IVD	53.4326	35.2945	22.8595	34.2049
COL8A2	13.9617	55.2371	65.1401	18.2183
SRSF9	54.2095	34.0232	36.2381	32.8867
LCMT1	27.7475	37.8946	36.1378	48.1035
PARVA	10.8718	52.0246	44.0186	45.0889
SLC17A5	12.8907	36.1149	26.7367	30.0655
FGFR3	7.3273	53.9007	15.6488	80.1573
KBTBD2	44.5977	36.4153	40.5387	36.6557
SEC63	28.1914	48.4021	28.2817	39.9904
SKP1	27.0179	44.3689	31.0927	37.3248
CUL4A	39.0273	31.3456	29.1564	31.7453
NT5C3A	42.6367	21.8429	20.0637	27.1559
ING4	63.8481	46.0868	25.5022	47.806
ARRDC4	15.6131	32.1013	56.4311	24.4036
LPGAT1	35.0279	58.2338	25.2138	51.5763
RBM17	62.8993	38.5974	34.835	42.2421
